	PamChip Location	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	Visual QC	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK
	Array	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS
ID																																																			
LIPS		381	771	1949	3785	3456	358	722	1829	3660	3429	249	503	1254	2528	3608	308	612	1550	3132	3544	372	734	1849	3720	3470	331	661	1669	3351	3404	168	342	859	1709	3433	284	572	1446	2904	3560	280	568	1429	2872	3551	272	560	1406	2830	3448
MYBB		-4	-4	-7	-15	-22	-3	-4	-9	-16	-30	-2	0	-3	-9	-18	-3	-2	-10	-20	-30	-2	-3	-7	-18	-35	-3	-3	-8	-20	-49	-1	-3	-5	-9	-17	-2	-1	-7	-6	-22	-2	-2	-9	-8	-20	-3	-4	-10	-14	-24
PLEK		167	338	868	1735	3477	180	376	944	1895	3548	156	315	802	1609	3229	181	365	918	1842	3637	173	343	865	1723	3473	179	359	903	1800	3539	124	245	631	1256	2530	178	365	926	1848	3644	149	302	768	1551	3100	159	323	829	1660	3302
RBL2		-2	-2	-4	-5	-13	-1	0	-2	-2	-9	0	-1	-1	-4	-8	0	-2	-3	-10	-12	2	1	0	0	-6	1	0	-1	3	-8	0	-2	-1	-6	-6	-2	-2	-6	-6	-9	-1	-1	0	-1	-3	-2	-2	-1	-6	-9
VIGLN		-3	-4	-6	-5	-24	-2	-2	-7	-18	-25	-1	0	-4	-5	-7	-1	-6	-7	-14	-32	-2	-2	-2	-13	-9	-4	-4	-7	-25	-33	-3	-3	-4	-3	-8	-2	0	-6	-3	-14	-2	-1	-2	-8	-26	-3	-5	-14	-19	-11
GRIK2		1366	2796	3722	3360	2671	1430	2877	3715	3269	2535	1275	2557	3750	3382	2727	1314	2650	3753	3389	2690	1316	2629	3716	3342	2625	1293	2580	3700	3289	2471	1036	2083	3806	3492	2930	1306	2596	3734	3369	2687	1211	2432	3754	3406	2710	1232	2528	3697	3285	2465
RADI		-7	-12	-36	-69	-141	-2	-8	-28	-66	-114	-4	-10	-18	-46	-106	-5	-11	-22	-88	-40	-4	-6	-31	-58	-183	-6	-8	-25	-14	-113	-4	-7	-8	-28	-60	-4	-10	-31	-69	-46	-2	-5	-20	-46	-34	-3	-6	-13	-33	-37
ACM1		2	6	13	30	74	3	6	24	54	107	1	5	13	31	71	2	4	15	44	86	4	4	15	34	76	5	9	24	53	113	2	5	10	24	65	3	4	16	40	78	2	4	15	34	75	4	6	19	45	88
ATM		0	-2	-8	-16	-27	-2	-5	-9	-17	-36	-1	-1	-7	-13	-22	-2	-2	-8	-20	-32	-2	-4	-5	-13	-23	-2	-5	-9	-18	-35	0	0	-4	-7	-15	-1	-1	-5	-12	-23	-2	-3	-7	-13	-21	-2	-3	-9	-9	-32
CDN1B		-1	-2	-4	-9	-17	-1	-4	-4	-11	-15	-1	-1	-3	-6	-4	-1	-1	-2	-13	-21	-2	-3	-6	-12	-17	0	-3	-5	-12	-26	-1	0	-5	-4	-5	-1	-4	-7	-7	-28	-1	-2	-3	-9	-21	0	-3	-8	-10	-17
