	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Barcode	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121
	PamChip Location	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	Visual QC	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS
ID
#REF		54.0	104.0	268.0	542.0	1083.0	51.0	101.0	267.0	537.0	1091.0	50.0	93.0	243.0	502.0	1005.0	51.0	107.0	267.0	543.0	1081.0	59.0	109.0	279.0	562.0	1121.0	54.0	108.0	274.0	553.0	1095.0	52.0	108.0	272.0	542.0	1098.0	52.0	106.0	269.0	546.0	1097.0	49.0	105.0	260.0	520.0	1049.0	56.0	109.0	277.0	567.0	1132.0	53.0	105.0	264.0	542.0	1078.0	53.0	103.0	267.0	547.0	1075.0
#REF		53.0	104.0	268.0	538.0	1079.0	51.0	100.0	255.0	519.0	1046.0	48.0	96.0	244.0	504.0	1001.0	50.0	104.0	256.0	529.0	1061.0	54.0	111.0	272.0	554.0	1106.0	55.0	101.0	261.0	538.0	1066.0	50.0	104.0	267.0	533.0	1086.0	51.0	102.0	262.0	537.0	1065.0	50.0	99.0	251.0	508.0	1018.0	55.0	107.0	269.0	540.0	1114.0	49.0	102.0	257.0	526.0	1056.0	51.0	104.0	262.0	527.0	1055.0
#REF		47.0	94.0	242.0	495.0	987.0	43.0	91.0	234.0	466.0	935.0	43.0	85.0	224.0	444.0	895.0	45.0	94.0	234.0	469.0	943.0	50.0	98.0	244.0	496.0	988.0	45.0	95.0	236.0	481.0	963.0	50.0	97.0	242.0	487.0	974.0	43.0	94.0	234.0	481.0	951.0	47.0	93.0	230.0	458.0	917.0	49.0	92.0	252.0	498.0	1005.0	48.0	92.0	229.0	479.0	945.0	47.0	95.0	244.0	486.0	955.0
#REF		57.0	108.0	276.0	562.0	1134.0	49.0	103.0	263.0	529.0	1047.0	48.0	98.0	255.0	510.0	1018.0	49.0	99.0	252.0	515.0	1043.0	53.0	109.0	278.0	553.0	1121.0	54.0	110.0	278.0	543.0	1101.0	56.0	104.0	264.0	540.0	1073.0	50.0	103.0	260.0	527.0	1050.0	52.0	103.0	257.0	524.0	1049.0	55.0	107.0	276.0	575.0	1155.0	54.0	106.0	285.0	566.0	1143.0	51.0	104.0	264.0	535.0	1066.0
pTY3H_64_78		688.0	1397.0	3422.0	3693.0	3269.0	640.0	1263.0	3211.0	3704.0	3336.0	515.0	1039.0	2644.0	3744.0	3414.0	567.0	1156.0	2939.0	3690.0	3275.0	553.0	1117.0	2821.0	3721.0	3415.0	600.0	1191.0	2977.0	3736.0	3357.0	500.0	999.0	2517.0	3748.0	3366.0	481.0	970.0	2418.0	3702.0	3297.0	504.0	1001.0	2526.0	3787.0	3481.0	557.0	1124.0	2853.0	3751.0	3398.0	479.0	975.0	2443.0	3768.0	3413.0	443.0	908.0	2297.0	3726.0	3349.0
ATF2_47_59		-4.0	-6.0	-8.0	-13.0	-30.0	0.0	-5.0	-6.0	-9.0	-28.0	-3.0	-3.0	-7.0	-11.0	-30.0	-2.0	-3.0	-2.0	-10.0	-7.0	-3.0	-4.0	-7.0	-11.0	-27.0	-1.0	-6.0	-8.0	-19.0	-40.0	-2.0	0.0	-9.0	-8.0	-20.0	-2.0	-3.0	-1.0	-10.0	-12.0	-1.0	-2.0	-7.0	-20.0	-46.0	-3.0	-2.0	-6.0	-11.0	-29.0	-1.0	-5.0	-7.0	-18.0	-38.0	-2.0	-3.0	-9.0	-16.0	-33.0
CDN1A_139_151		847.0	1715.0	3849.0	3616.0	3123.0	717.0	1439.0	3662.0	3688.0	3259.0	723.0	1459.0	3690.0	3653.0	3193.0	744.0	1504.0	3803.0	3617.0	3139.0	698.0	1378.0	3492.0	3658.0	3222.0	709.0	1418.0	3535.0	3674.0	3243.0	708.0	1415.0	3547.0	3661.0	3205.0	672.0	1352.0	3361.0	3615.0	3107.0	556.0	1098.0	2776.0	3753.0	3427.0	656.0	1315.0	3329.0	3698.0	3273.0	662.0	1343.0	3402.0	3680.0	3242.0	641.0	1303.0	3317.0	3639.0	3172.0
FIBA_569_581		2.0	4.0	8.0	20.0	47.0	0.0	2.0	9.0	23.0	49.0	2.0	4.0	11.0	26.0	52.0	2.0	8.0	17.0	30.0	83.0	3.0	5.0	12.0	19.0	52.0	1.0	5.0	13.0	31.0	51.0	1.0	2.0	13.0	30.0	58.0	3.0	8.0	18.0	42.0	87.0	1.0	1.0	10.0	23.0	47.0	-1.0	1.0	8.0	16.0	53.0	1.0	3.0	14.0	31.0	49.0	0.0	7.0	16.0	33.0	79.0
IKKB_173_185_C179A		-1.0	-3.0	0.0	-10.0	-20.0	1.0	-1.0	-5.0	-7.0	-19.0	-1.0	-3.0	-1.0	-2.0	-14.0	-1.0	-2.0	-3.0	-10.0	-24.0	0.0	0.0	-4.0	-8.0	-18.0	-1.0	0.0	-5.0	-6.0	-13.0	0.0	-3.0	-5.0	-7.0	-13.0	-1.0	-1.0	-7.0	-6.0	-18.0	-1.0	-2.0	-3.0	-8.0	-10.0	-2.0	-2.0	-7.0	-6.0	-10.0	-3.0	-2.0	-5.0	-4.0	-15.0	-3.0	-1.0	-2.0	-9.0	-15.0
LIPS_944_956		336.0	679.0	1706.0	3453.0	3506.0	285.0	568.0	1446.0	2886.0	3555.0	381.0	771.0	1949.0	3785.0	3456.0	358.0	722.0	1829.0	3660.0	3429.0	249.0	503.0	1254.0	2528.0	3608.0	308.0	612.0	1550.0	3132.0	3544.0	372.0	734.0	1849.0	3720.0	3470.0	331.0	661.0	1669.0	3351.0	3404.0	168.0	342.0	859.0	1709.0	3433.0	284.0	572.0	1446.0	2904.0	3560.0	280.0	568.0	1429.0	2872.0	3551.0	272.0	560.0	1406.0	2830.0	3448.0
