Barcode,Peptide,LFC,totalMeanLFC,LFC_SD
710429120,H32,-0.5978163238947598,-0.5675784929244925,0.042762750654897264
710429120,IF4E,-0.6496830785258618,-0.6656985582315835,0.022649308607742696
710429120,KAPCG,-0.33620635945470667,-0.33892474053747224,0.00384437139494552
710429120,KCNA2,-0.09761879396614148,-0.013509512320866612,0.11894848682420615
710429120,KCNA3,-0.43794809178136873,-0.27139857217888075,0.23553658942856215
710429120,KCNB1,0.32622823232098774,-0.23094860912828175,0.7879670458177606
710429120,KIF2C,-0.10097177808767377,-0.05770578937974591,0.06118734802023276
710429120,KPCB.1,-0.492778875825735,-0.5066547519759466,0.019623452241438577
710429120,KS6A1,-0.179767619273564,-0.16199236606727707,0.02513800415894681
710429120,LMNB1,-0.15180298316788843,-0.3660109500229938,0.3029358118948564
710429120,MARCS,-0.6366842191467343,-0.6437422666153183,0.009981586453944528
710429120,MARCS.1,-0.40637569833649234,-0.47874299154514866,0.10234280752791212
710429120,MBP,-0.2168345435094663,-0.21337880644184937,0.004887150229019287
710429120,MP2K1.1,-0.42083275606416315,-0.46341595444523165,0.060221736679731096
710429120,MPIP1,-0.20572095332289653,-0.32385008943948446,0.16705982640749606
710429120,MPIP3,0.06226187493986313,-0.19918624538954566,0.3697434776268028
710429120,NEK2,-0.3678079543503445,-0.42047713716048385,0.07448547264920692
710429120,NR4A1,-0.7937990480491601,-0.7201912551907679,0.10409713895668778
710429120,P53,1.3160274934476783,0.7837227638867557,0.7527925678603994
710429120,P53.1,-1.018183461788282,-0.8130796199565293,0.29006063481329064
710429120,PDE5A,-1.0038061289493596,-0.6040590478302255,0.5653277436377373
710429120,PP2AB,0.0637157897301952,-0.37995209334509683,0.6274411374344385
710429120,PPR1A,-0.14907651420831947,-0.1178067752620473,0.044222088909684265
710429120,RAF1,-0.25563369759383114,-0.17238823527940061,0.11772686181108603
710429120,RAP1B,-0.39792932276815485,-0.28556357987582803,0.15890915754445678
710429120,RB,-0.43154277077493575,-0.4446501030910186,0.018536567127935524
710429120,RB.1,-0.26700330803674,-0.36486877467344003,0.13840267020559285
710429120,RB.3,-0.051088771932461974,0.002300554314438319,0.07550390926432825
710429120,RBL2.1,-0.1376520204605125,-0.0909862594958808,0.06599535205464313
710429121,ACM1,-0.17841903086463073,-0.28204032849653826,0.1465426444617427
710429121,ACM1.1,-0.5558000131095282,-0.6193049186144144,0.08980949864223187
710429121,ACM4,-0.10676394895393493,-0.16252359475439837,0.0788560473241354
710429121,ACM5,-0.20709623423993762,-0.2985744866524902,0.12936978522402118
710429121,ACM5.1,-0.10695398030820069,-0.3022808756818418,0.2762339445336338
710429121,ADDB,-0.8689905743223205,-0.8743761390844016,0.0076163387275736865
710429121,ADDB.1,-0.3649367299030537,-0.4549197989098208,0.12725527657332417
710429121,ANDR,0.10846690618052612,-0.07448584193041796,0.25873425765192576
710429121,ANXA1,-0.19548120438665428,-0.4757350423013067,0.39633877848601257
710429121,BAD.1,-0.18670483642041447,-0.27942652116540767,0.1311282640924519
710429121,BAD.2,-0.2009640344729977,-0.3857113762594273,0.26127219636674637
710429121,BCKD,-0.14110080485241294,-0.3515368059022057,0.2976014466961758
710429121,C1R,-0.11590896814615448,-0.5097004936464042,0.5569053161100437
710429121,CA2D1,-0.49531615433582843,-0.43260014634292077,0.08869382908146944
710429121,CD27,-0.6702233387662817,-0.7426204899459474,0.10238503307545857
710429121,CDC2,-0.36619413976032256,-0.4280164409044729,0.0874299367351711
710429121,CDK7,-0.23686774385232834,-0.2702686800940728,0.04723605702903404
710429121,CENPA,0.14019201027680062,0.0784699876340591,0.08728812151846431
710429121,COF1,-0.37605330874833065,-0.6512672796026475,0.38921133013672865
710429121,DCX,-0.42467845667113746,-0.6314163400047148,0.2923715184666517
710429121,ERBB2,0.22237179475869695,0.22820214355911794,0.008245358346921073
710429121,ERF,-0.648969113168377,-0.7883109672778024,0.1970591398877625
710429121,ESR1,0.12490757085783777,0.08864372604489201,0.0512848211582611
710429121,FIBA,-0.6667475975547301,-0.6786038060772661,0.016767210890893877
710429121,FOXO3,-0.38056270249264657,-0.3476367542792693,0.04656432251735228
