Barcode,Peptide,LFC,totalMeanLFC,LFC_SD
710429119,ACM1,0.5986081520481106,0.4865401386532093,0.18766350028090573
710429119,ACM1.1,0.64293235812936,0.6563124881615785,0.10428463249000743
710429119,ACM4,0.46771042042782174,0.3799208553680762,0.09410071904060432
710429119,ACM5,0.38003731612105796,0.33900335705705525,0.061552031533232805
710429119,ACM5.1,0.1767088702635382,0.246618221951772,0.13427174512106932
710429119,ADDB,0.6981079405268593,0.6443759701093509,0.07352726657026976
710429119,ADDB.1,0.14456515319094976,0.24710557155419632,0.09607716378421569
710429119,ANDR,-0.28794800445771607,-0.1881154044343513,0.0873234885412507
710429119,ANXA1,-0.1014609904718089,-0.09429991000784395,0.01753261360791494
710429119,BAD.1,0.09226329854300364,0.08887621595289463,0.14961677140036714
710429119,BAD.2,0.4237353168433158,0.39782477429387314,0.05859401772545527
710429119,BCKD,0.38075801700503753,0.3757126215726944,0.06258827990792457
710429119,C1R,0.2270935247646797,0.5474338455217479,0.38891952824521697
710429119,CA2D1,0.3124064233964541,0.3018686258774184,0.08914332222669741
710429119,CD27,0.5944621411951276,0.5758672831925556,0.018116014541505424
710429119,CDC2,-0.454565863465481,0.16753647313832154,0.7029885042115285
710429119,CDK7,-0.13880579106347302,0.1207123807938908,0.43372818731226787
710429119,CENPA,0.10486094743275842,0.11743097903353632,0.05091271057987414
710429119,COF1,-0.13590632843645878,-0.10799258876752511,0.12017128138218623
710429119,DCX,0.44237818691697584,0.539438021897593,0.08745031743102383
710429119,ERBB2,-0.12236786382842979,-0.04852990293816125,0.09345168329505424
710429119,ERF,0.07178357302614025,0.10798518554096444,0.15372742745491072
710429119,ESR1,-0.14124458268250528,-0.09354180412005302,0.04139380507486955
710429119,FIBA,0.5958428700792702,0.572318939969272,0.02187510434075294
710429119,FOXO3,0.5937886482524304,0.4450465013536684,0.13549348776047948
710429119,FRAP,-0.40019590887042966,-0.25804097261688536,0.18055859576344555
710429119,GPR6,-0.27510498946458206,-0.12155293140297789,0.2237267072645361
710429119,GSUB,0.37297892070159655,0.4411211696468141,0.11097180968772537
710429119,GYS2,-0.25111916802519296,-0.17331654369504138,0.1886538969146832
710429119,H2B1B,-0.010804101502287722,-0.06358265667943701,0.1804249919526882
710429119,H32,0.4670771423096465,0.5002062602551854,0.03939664080012487
710429119,IF4E,0.42292460642589713,0.5179544608445189,0.09752140502085398
710429119,KAPCG,0.20871089030203205,0.418548926708372,0.18337690973435525
710429119,KCNA2,-0.26309410067781336,-0.16908096272951192,0.11673791125911454
710429119,KCNA3,-0.27510598604479775,-0.1992129314365195,0.08171568813310044
710429119,KCNB1,0.08335574649548061,0.03532578150993052,0.37380780655522095
710429119,KIF2C,-0.03433704952385597,0.040659187109704696,0.09512247326342697
710429119,KPCB.1,0.31959660060498063,0.5420192538657972,0.21917676035222142
710429119,KS6A1,0.05200015024117999,0.10040061862356857,0.04400147677714802
710429119,LMNB1,1.0726974352840708,1.04342471391439,0.1729010654965752
710429119,MARCS,0.820444242846051,0.6087595795835847,0.18521159804596887
710429119,MARCS.1,0.4330176756192108,0.7159528170317989,0.2975906184322796
710429119,MBP,0.4049928666157525,0.1727262665296004,0.29811785063810625
710429119,MP2K1.1,0.45629593559081094,0.44489631881416764,0.017889254108131643
710429119,MPIP1,0.259441141109785,0.31230449666480214,0.07234407553295091
710429119,MPIP3,0.28826038212196714,0.33146061489026213,0.28047781443049546
710429119,NEK2,0.368894779356606,0.4983893549831455,0.16296764176916367
710429119,NR4A1,0.7794041514519652,0.663287173679714,0.13008546765802498
710429119,P53,-1.506488442698072,-0.6415771717523909,0.7912899749506048
710429119,P53.1,0.7817130388004205,0.6411530745601549,0.241200006823902
710429119,PDE5A,-0.3775813523729932,-0.24362242319057406,0.16689293556009188
710429119,PP2AB,0.46382606321952125,0.7695277725615502,0.8341843880516944
710429119,PPR1A,-0.04846881590800933,-0.05798026995663127,0.046627970690977114
710429119,RAF1,-0.3287876268947958,-0.24414518604874225,0.13119009712270965
710429119,RAP1B,-0.14708898825562144,-0.09674305061596182,0.09439333611818095
710429119,RB,0.5836122946882201,0.3302154799974118,0.23414339572121265
710429119,RB.1,0.7895345372327487,0.5344306283171859,0.41995687922655545
710429119,RB.3,0.07908348173700297,0.13782107621684622,0.06833361856457133
710429119,RBL2.1,0.12603117512937168,0.23298718003130384,0.1166615457986936
710429120,ACM1,0.5911241870366606,0.4865401386532093,0.18766350028090573
710429120,ACM1.1,0.7666414149227716,0.6563124881615785,0.10428463249000743
710429120,ACM4,0.3914759558310852,0.3799208553680762,0.09410071904060432
710429120,ACM5,0.36874384700490737,0.33900335705705525,0.061552031533232805
710429120,ACM5.1,0.40142035687515154,0.246618221951772,0.13427174512106932
710429120,ADDB,0.5605809462157172,0.6443759701093509,0.07352726657026976
710429120,ADDB.1,0.2617026522595527,0.24710557155419632,0.09607716378421569
710429120,ANDR,-0.12593204974580807,-0.1881154044343513,0.0873234885412507
710429120,ANXA1,-0.07432023154039591,-0.09429991000784395,0.01753261360791494
710429120,BAD.1,-0.06240533969463247,0.08887621595289463,0.14961677140036714
710429120,BAD.2,0.4389965919100769,0.39782477429387314,0.05859401772545527
710429120,BCKD,0.3107543508990238,0.3757126215726944,0.06258827990792457
710429120,C1R,0.9801750216437504,0.5474338455217479,0.38891952824521697
710429120,CA2D1,0.20792477002629184,0.3018686258774184,0.08914332222669741
710429120,CD27,0.5582714552633936,0.5758672831925556,0.018116014541505424
710429120,CDC2,0.026996732378017363,0.16753647313832154,0.7029885042115285
