Barcode,Peptide,LFC,totalMeanLFC,LFC_SD
710429120,ACM1,0.31391755214765116,0.3351854481093963,0.030077346912239993
710429120,ACM1.1,0.1680126777338682,0.24297106428421378,0.10600716687310373
710429120,ACM4,0.20444364926066338,0.27036792994785985,0.09323101183752396
710429120,ACM5,0.0963545129073804,0.2006097250530896,0.1474391349645462
710429120,ACM5.1,0.08704845749789847,0.19438048558193,0.1517904097934473
710429120,ADDB,0.08433018433750661,0.18244352586696166,0.13875321824069878
710429120,ADDB.1,0.30889009476357643,0.4310042889142194,0.17269554952610053
710429120,ANDR,0.11227961799149178,0.5192639215452397,0.575562721758679
710429120,ANXA1,0.34304358613038133,0.6891366279233737,0.4894494735466082
710429120,BAD.1,0.19572447087436817,0.5012277623982304,0.4320468982226674
710429120,BAD.2,-0.0946726237890756,0.122951519361997,0.30776701474407075
710429120,BCKD,0.14538632512888405,0.4255220309567105,0.3961717144866718
710429120,C1R,0.2314731439418587,0.6561425947649775,0.6005732968795887
710429120,CA2D1,0.07429005642201947,0.12996476435915305,0.07873592704585532
710429120,CD27,0.009104334550868565,0.11144719458811103,0.14473466067671972
710429120,CDC2,0.22940566420639907,0.3840271457028681,0.21866779616652707
710429120,CDK7,-0.86110578560805,-0.029933488781697548,1.1754551348406235
710429120,CENPA,0.23373535236885168,0.4632525269759258,0.3245863011268779
710429120,COF1,0.5633784715402497,1.113849381937345,0.7784834271754368
710429120,DCX,0.04080163646905621,0.3893443930531615,0.49291389342814607
710429120,ERBB2,0.1834686246750863,0.34454262251982026,0.22779303229767747
710429120,ERF,0.29429002218276246,0.6817817248376152,0.5479960212015355
710429120,ESR1,0.028490367161783325,0.2760345005496774,0.35008027072305425
710429120,FIBA,0.10975951050440003,0.078094872882283,0.04478055997282724
710429120,FOXO3,0.1935926609261429,0.22456693624201707,0.04380424023638742
710429120,FRAP,0.34164704821046854,0.8428254349121698,0.7087732716418135
710429120,GPR6,0.3413030521376985,0.8372797541365022,0.7014169785877872
710429120,GSUB,0.2027193910891416,0.36240942158898504,0.22583580690865176
710429120,GYS2,0.22097442298405312,0.5617974363951594,0.4819965279348538
710429120,H2B1B,0.2902879683553401,0.5677948154742918,0.3924539468470185
710429120,H32,0.06707048881997402,0.20171842626329717,0.19042093927791168
710429120,IF4E,0.17864993351079228,0.20547891185616152,0.03794190504063525
710429120,KAPCG,0.22903480839620105,0.4675118936625937,0.3372575282989375
710429120,KCNA2,0.2512825033718613,0.6893010089412499,0.6194517111466245
710429120,KCNA3,0.40329135030323116,0.9543879721458115,0.779368316787774
710429120,KCNB1,0.6780719051126374,0.2435936425173395,0.6144450515185693
710429120,KIF2C,0.1739953378639445,0.3400155080045639,0.23478797624035275
710429120,KPCB.1,-0.01970925517547606,0.44296908679120506,0.6543259862255771
710429120,KS6A1,0.11376887495757337,0.14026120988397262,0.03746581935184424
710429120,LMNB1,1.010039671976565,0.933163231655231,0.10871970452939642
710429120,MARCS,0.0971317173532702,0.25514961463953423,0.22347105343991328
710429120,MARCS.1,0.010878053730517756,0.13471253428599894,0.17512840189098883
710429120,MBP,-0.15915401287304842,-0.0988712552751485,0.0852526933721998
710429120,MP2K1.1,0.13282258200614372,0.23255667591259366,0.14104530823349334
710429120,MPIP1,0.2297083347871256,0.33195703921032793,0.1446015045303706
710429120,MPIP3,0.2670007899608988,0.3566285099252311,0.1267527371381365
710429120,NEK2,0.02148734461662638,0.16306607031089593,0.20022255402033617
710429120,NR4A1,0.02446785548447128,0.149487522881107,0.17680450919569568
710429120,P53,0.11055837514769884,0.2086765832549533,0.13876010062102503
710429120,P53.1,-0.23335728537245615,-0.01884648156563351,0.3033640880191627
710429120,PDE5A,0.5530954792388663,1.150186723920605,0.844414536203147
710429120,PP2AB,1.459811725355578,1.257129754688977,0.2866355917652129
710429120,PPR1A,0.30168399169445514,0.4365938605977471,0.19079136630101173
710429120,RAF1,0.5192709214076867,0.7516204057943687,0.3285917920300414
710429120,RAP1B,0.3976429035625344,0.697125597804118,0.4235324878924823
710429120,RB,0.0849498724197213,0.27276614164834356,0.2656123151774342
710429120,RB.1,0.6709357238310085,0.7043837707020693,0.04730268151994505
710429120,RB.3,0.15107142079989178,0.40495190907370393,0.35904122973872865
710429120,RBL2.1,0.08018979581368946,0.40198031397733036,0.45508051503008673
710429121,ACM1,0.3564533440711415,0.3351854481093963,0.030077346912239993
710429121,ACM1.1,0.31792945083455937,0.24297106428421378,0.10600716687310373
710429121,ACM4,0.3362922106350563,0.27036792994785985,0.09323101183752396
710429121,ACM5,0.3048649371987988,0.2006097250530896,0.1474391349645462
710429121,ACM5.1,0.3017125136659615,0.19438048558193,0.1517904097934473
710429121,ADDB,0.2805568673964167,0.18244352586696166,0.13875321824069878
710429121,ADDB.1,0.5531184830648623,0.4310042889142194,0.17269554952610053
710429121,ANDR,0.9262482250989876,0.5192639215452397,0.575562721758679
710429121,ANXA1,1.035229669716366,0.6891366279233737,0.4894494735466082
710429121,BAD.1,0.8067310539220927,0.5012277623982304,0.4320468982226674
710429121,BAD.2,0.3405756625130696,0.122951519361997,0.30776701474407075
710429121,BCKD,0.7056577367845369,0.4255220309567105,0.3961717144866718
710429121,C1R,1.0808120455880963,0.6561425947649775,0.6005732968795887
710429121,CA2D1,0.18563947229628663,0.12996476435915305,0.07873592704585532
710429121,CD27,0.2137900546253535,0.11144719458811103,0.14473466067671972
710429121,CDC2,0.5386486271993371,0.3840271457028681,0.21866779616652707
710429121,CDK7,0.8012388080446549,-0.029933488781697548,1.1754551348406235
